Startdatum,Artnamn,Lokalnamn,Privat kommentar
2020-05-31,Grågås,Hjälstaviken,
2020-05-31,Kanadagås,"Asköviken, Västerås",
2020-05-31,Vitkindad gås,Hjälstaviken ,
2020-05-31,Skedand,Hjälstaviken ,
2020-05-31,Fisktärna,Hjälstaviken ,
2020-05-31,Fiskmås,Hjälstaviken ,
2020-05-31,Skrattmås,Hjälstaviken ,
,Gråtrut,Hönö,
,Havstrut,Hönö,
,Silltrut,Hönö,
,Gräsand,,
,Sångsvan,Angarn,
,Tofsvipa,Angarn,
,Brun kärrhök,Angarn,
,Sothöna,Hjälstaviken ,
,Ringduva,Hemma,
2020-05-31,Kråka,Hjälstaviken ,
,Skata,Hemma ,
,Björktrast,Hemma,
,Koltrast,Hemma ,
,Talgoxe,Hemma,
2020-05-21,Bofink,Kindla,
,Pilfink,Hemma,
,Nötskrika,Hemma,
2022-05-01,Lövsångare,Ottenby ,
,Havsörn,Puttes båt,
2020-05-21,Spillkråka,Kindla,
,Tornseglare,Hemma,
2020-05-31,Fiskgjuse,Hjälstaviken ,
2020-05-31,Gråhäger,Hjälstaviken ,
,Fasan,Kista,
2020-05-16,Trana,Angarn,
,Tamduva,Kista,
2020-06-01,Sädesärla,Hemma,
2020-06-01,Gråsparv,Norr mälarstrand,
2020-06-01,Kaja,Grimstadam,
2020-05-31,Sävsångare,Hjälstaviken ,
2020-06-03,Skäggdopping,Nockeby,På promenad med dagge
2020-06-07,Svarthakedopping,Kyrksjön,
2020-06-13,Ladusvala,Kvicksund,
2020-06-15,Storlom,Uskavi,
2020-06-16,Storskrake,Uskavi ,
2020-06-15,Stare,Uskavi,
2020-06-18,Hussvala,Löa,
,Större hackspett,Hemma,
2020-07-06,Knölsvan,Slagsta,
2020-07-16,Nötväcka,Uskavi,
2020-07-17,Ormvråk,Fellingsbro,
2020-08-06,Gulärla,Hornborgasjön ,
2020-08-06,Tornfalk,Hornborgasjön ,
,Blåmes,Hemma,
2020-08-10,Steglits,Uskavi,
2020-08-10,Grå flugsnappare,Uskavi,
2023-01-07,Entita,Fysingen,
2020-08-15,Skogsduva,Rosersberg ,
2020-08-29,Storskarv,Sandemar,
2020-08-29,Buskskvätta,Samdemar,
2020-09-03,Grönsiska,Uskavi,
2020-09-23,Stenknäck,Hemma,
2020-10-09,Tjäder,Kopparberg ,
2020-12-04,Domherre,Hemma,
2021-01-09,Vigg,Strömbron,
2021-01-09,Knipa,Strömbron,
2021-01-29,Sidensvans,Hemma,
2021-03-19,Grönfink,Hemma,
2021-03-20,Strömstare,"Nyfors, tyresta",
2021-04-03,Sävsparv,Hjälstaviken,
2021-04-03,Ängspiplärka,Hjälstaviken,
2021-04-03,Korp,Hjälstaviken,
2021-04-08,Rödhake,Banvallen ,
2021-04-08,Gulsparv,Säby gård,
2021-04-15,Trädkrypare,Banvallen,
2022-10-08,Bläsand,Fysingen ,
2021-04-17,Kricka,Tysslingen,
2021-05-29,Sånglärka,Hjälstaviken ,
2021-06-16,Svarthätta,Banvallen,
2021-07-02,Forsärla,Åsebol,
2021-07-07,Svartvit flugsnappare,Baksidan,
2021-07-06,Gröngöling,Banvallen ,
2022-07-01,Gransångare,"Ukta, polen",
2021-07-12,Ärtsångare,Baksidan,
2021-06-27,Kornknarr,Uskavi,"Hörde, men såg inte"
2021-09-18,Brushane,Hjälstaviken ,
2021-10-23,Sparvuggla,Håkansbodaberget,
2021-11-20,Talltita,Nyberget,
2021-12-27,Stjärtmes,Hemma,
